Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P.1,2P,2PA,2P.1,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
45,Chauncey Billups,PG,33,DEN,73,73,34.1,5.5,13.2,0.418,2.2,5.6,0.386,3.4,7.6,0.441,0.499,6.4,7.0,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,16.8
46,DeJuan Blair,PF,20,SAS,82,23,18.2,3.4,6.0,0.556,0.0,0.0,0.0,3.4,6.0,0.558,0.556,1.1,2.0,0.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8,8.3
47,Steve Blake,PG,29,TOT,80,38,27.0,2.7,6.5,0.416,1.5,3.7,0.395,1.3,2.9,0.443,0.527,0.5,0.6,0.75,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,4.0
48,Andray Blatche,PF,23,WAS,81,36,27.9,5.9,12.3,0.478,0.2,0.5,0.295,5.7,11.8,0.487,0.485,2.1,2.9,0.744,2.0,4.3,6.3,2.1,1.0,0.9,2.2,2.7,14.1,16.8
49,Keith Bogans,SF,29,SAS,79,50,19.7,1.5,3.8,0.403,0.9,2.5,0.357,0.6,1.3,0.49,0.52,0.5,0.6,0.74,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4,4.4
50,Andrew Bogut,C,25,MIL,69,69,32.3,6.9,13.2,0.52,0.0,0.0,0.0,6.9,13.2,0.521,0.52,2.2,3.4,0.629,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,12.8
51,Matt Bonner,PF,29,SAS,65,8,17.9,2.6,5.7,0.446,1.4,3.6,0.39,1.2,2.2,0.539,0.567,0.5,0.7,0.729,0.8,2.5,3.3,1.0,0.5,0.4,0.6,1.7,7.0,7.3
53,Carlos Boozer,PF,28,UTA,78,78,34.3,7.9,14.1,0.562,0.0,0.0,,7.9,14.1,0.562,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,17.5
54,Chris Bosh,C,25,TOR,70,70,36.1,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,18.7
56,Earl Boykins,PG,33,WAS,67,1,16.7,2.6,6.0,0.427,0.3,0.9,0.317,2.3,5.1,0.446,0.45,1.1,1.3,0.865,0.3,0.9,1.1,2.6,0.4,0.0,1.0,0.7,6.6,7.2
57,Elton Brand,PF,30,PHI,76,57,30.2,5.4,11.3,0.48,0.0,0.0,0.0,5.4,11.3,0.481,0.48,2.3,3.1,0.738,2.4,3.7,6.1,1.4,1.1,1.1,1.7,3.1,13.1,15.0
58,Corey Brewer,SG,23,MIN,82,82,30.3,5.0,11.6,0.431,1.0,2.9,0.346,4.0,8.7,0.459,0.474,2.0,3.1,0.648,0.9,2.5,3.4,2.4,1.4,0.4,2.0,2.7,13.0,8.0
59,Ronnie Brewer,SG,24,TOT,58,53,30.0,3.6,7.4,0.487,0.1,0.5,0.258,3.5,6.9,0.505,0.497,1.5,2.3,0.639,0.8,2.4,3.2,2.7,1.6,0.3,0.9,1.4,8.8,6.2
61,Jon Brockman,PF,22,SAC,52,4,12.6,1.1,2.0,0.534,0.0,0.0,,1.1,2.0,0.534,0.534,0.7,1.2,0.597,2.0,2.1,4.1,0.4,0.3,0.1,0.4,2.2,2.8,2.2
62,Aaron Brooks,PG,25,HOU,82,82,35.6,7.0,16.2,0.432,2.5,6.4,0.398,4.5,9.8,0.454,0.511,3.0,3.6,0.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,10.7
64,Derrick Brown,SF,22,CHA,57,0,9.4,1.2,2.6,0.463,0.0,0.1,0.286,1.2,2.5,0.471,0.469,0.8,1.3,0.667,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0.9,3.3,3.8
66,Kwame Brown,C,27,DET,48,1,13.8,1.3,2.6,0.5,0.0,0.0,0.0,1.3,2.6,0.504,0.5,0.7,2.0,0.337,1.1,2.6,3.7,0.5,0.3,0.3,0.9,1.9,3.3,7.9
67,Shannon Brown,SG,24,LAL,82,7,20.7,3.1,7.2,0.427,0.8,2.3,0.328,2.3,4.9,0.474,0.48,1.2,1.5,0.818,0.4,1.9,2.2,1.3,0.7,0.4,0.8,1.6,8.1,8.7
68,Kobe Bryant,SG,31,LAL,73,73,38.8,9.8,21.5,0.456,1.4,4.1,0.329,8.5,17.4,0.487,0.488,6.0,7.4,0.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,25.3
69,Chase Budinger,SF,21,HOU,74,4,20.1,3.4,7.6,0.441,1.2,3.4,0.369,2.1,4.3,0.497,0.522,0.9,1.2,0.77,0.5,2.5,3.0,1.2,0.5,0.1,0.6,1.1,8.9,9.8
70,Caron Butler,SF-SG,29,TOT,74,74,37.6,6.1,14.2,0.428,0.6,2.0,0.29,5.5,12.2,0.45,0.448,3.6,4.3,0.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,2.6,16.3,15.0
71,Rasual Butler,SF,30,LAC,82,64,33.0,4.3,10.6,0.409,1.8,5.3,0.336,2.6,5.3,0.482,0.493,1.5,1.8,0.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9,4.7
72,Andrew Bynum,C,22,LAL,65,65,30.4,6.0,10.6,0.57,0.0,0.0,0.0,6.0,10.6,0.571,0.57,3.0,4.0,0.739,2.7,5.6,8.3,1.0,0.5,1.4,1.8,3.0,15.0,11.3
73,Will Bynum,PG,27,DET,63,20,26.5,3.8,8.5,0.444,0.2,0.9,0.218,3.6,7.6,0.47,0.455,2.3,2.8,0.798,0.4,1.9,2.3,4.5,0.9,0.1,1.8,2.3,10.0,7.9
74,Jose Calderon,PG,28,TOR,68,39,26.7,4.0,8.4,0.482,1.0,2.5,0.398,3.0,5.8,0.519,0.542,1.2,1.5,0.798,0.3,1.8,2.1,5.9,0.7,0.1,1.5,2.0,10.3,9.8
75,Marcus Camby,PF-C,35,TOT,74,74,31.3,3.2,6.8,0.475,0.0,0.1,0.286,3.2,6.7,0.478,0.477,1.1,1.6,0.639,3.4,8.4,11.8,2.5,1.3,2.0,1.2,2.2,7.5,4.7
76,Brian Cardinal,PF,32,MIN,29,0,9.2,0.5,1.2,0.389,0.1,0.3,0.333,0.4,0.9,0.407,0.431,0.6,0.6,0.944,0.2,0.8,1.0,0.8,0.3,0.1,0.2,1.9,1.7,2.6
77,Rodney Carney,SG,25,PHI,68,0,12.6,1.7,4.1,0.401,0.6,2.0,0.304,1.1,2.2,0.49,0.473,0.8,0.9,0.825,0.4,1.6,2.0,0.5,0.4,0.3,0.3,1.2,4.7,4.7
78,DeMarre Carroll,SF,23,MEM,71,1,11.2,1.2,3.1,0.396,0.0,0.1,0.0,1.2,3.0,0.407,0.396,0.5,0.7,0.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9,0.8
79,Matt Carroll,SG,29,DAL,25,0,4.8,0.7,2.0,0.36,0.2,0.8,0.211,0.6,1.2,0.452,0.4,0.2,0.2,1.0,0.2,0.3,0.5,0.2,0.2,0.0,0.3,0.5,1.8,4.4
80,Anthony Carter,PG,34,DEN,54,7,15.9,1.4,3.4,0.42,0.3,1.2,0.27,1.1,2.2,0.5,0.467,0.2,0.2,0.846,0.3,1.3,1.6,3.0,0.7,0.2,1.1,1.3,3.3,3.3
81,Vince Carter,SG,33,ORL,75,74,30.8,5.8,13.5,0.428,1.6,4.3,0.367,4.2,9.2,0.456,0.486,3.4,4.1,0.84,0.4,3.5,3.9,3.1,0.7,0.2,1.4,2.5,16.6,14.0
82,Omri Casspi,SF,21,SAC,77,31,25.1,3.9,8.7,0.446,1.0,2.6,0.369,2.9,6.1,0.48,0.502,1.5,2.3,0.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3,8.6
83,Mario Chalmers,PG,23,MIA,73,22,24.8,2.5,6.2,0.401,1.0,3.2,0.318,1.5,3.0,0.491,0.483,1.1,1.5,0.745,0.3,1.5,1.8,3.4,1.2,0.2,1.7,2.4,7.1,6.4
84,Tyson Chandler,C,27,CHA,51,27,22.8,2.1,3.7,0.574,0.0,0.0,,2.1,3.7,0.574,0.574,2.3,3.1,0.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5,10.1
85,Wilson Chandler,SG,22,NYK,65,64,35.7,6.3,13.2,0.479,0.6,2.3,0.267,5.7,10.9,0.524,0.502,2.0,2.5,0.806,1.4,3.9,5.4,2.1,0.7,0.8,1.7,2.8,15.3,15.3
86,Earl Clark,PF,22,PHO,51,0,7.5,1.1,3.0,0.371,0.0,0.1,0.4,1.1,2.9,0.37,0.377,0.5,0.7,0.722,0.4,0.9,1.2,0.4,0.1,0.3,0.5,0.5,2.7,3.9
87,Jarron Collins,C,31,PHO,34,10,7.7,0.4,0.9,0.387,0.0,0.0,,0.4,0.9,0.387,0.387,0.3,0.7,0.4,0.6,1.2,1.8,0.2,0.1,0.1,0.3,1.2,1.0,0.7
88,Jason Collins,C,31,ATL,24,0,4.8,0.3,1.0,0.348,0.0,0.0,0.0,0.3,0.9,0.364,0.348,0.0,0.1,0.0,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.9,0.7,2.0
90,Darren Collison,PG,22,NOH,76,37,27.8,4.9,10.4,0.477,0.6,1.5,0.4,4.3,8.9,0.49,0.506,1.9,2.3,0.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4,13.2
91,Nick Collison,C,29,OKC,75,5,20.8,2.4,4.1,0.589,0.0,0.1,0.25,2.4,4.1,0.593,0.591,1.0,1.4,0.692,2.0,3.1,5.1,0.5,0.5,0.6,0.8,3.1,5.9,4.6
92,Mike Conley,PG,22,MEM,80,80,32.1,4.6,10.4,0.445,1.0,2.7,0.387,3.6,7.7,0.464,0.494,1.7,2.3,0.743,0.4,2.0,2.4,5.3,1.4,0.2,2.1,2.2,12.0,13.7
94,Brian Cook,PF,29,HOU,15,0,2.9,0.5,1.5,0.304,0.1,0.6,0.222,0.3,0.9,0.357,0.348,0.3,0.5,0.714,0.1,0.5,0.6,0.1,0.0,0.1,0.4,0.3,1.4,4.8
95,Daequan Cook,SG,22,MIA,45,3,15.4,1.8,5.6,0.32,0.9,2.8,0.317,0.9,2.8,0.323,0.399,0.5,0.6,0.84,0.2,1.6,1.8,1.0,0.3,0.2,0.5,1.1,5.0,5.6
96,Jamal Crawford,SG,29,ATL,79,0,31.1,6.3,14.0,0.449,2.1,5.4,0.382,4.2,8.6,0.491,0.523,3.4,4.0,0.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,1.7,18.0,14.2
97,Dante Cunningham,PF,22,POR,63,2,11.2,1.7,3.4,0.495,0.0,0.0,0.0,1.7,3.4,0.5,0.495,0.5,0.8,0.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9,6.2
100,Stephen Curry,PG,21,GSW,80,77,36.2,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,18.6
101,Samuel Dalembert,C,28,PHI,82,80,25.9,3.5,6.4,0.545,0.0,0.0,,3.5,6.4,0.545,0.545,1.2,1.6,0.729,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1,8.1
102,Erick Dampier,C,34,DAL,55,47,23.3,2.4,3.9,0.624,0.0,0.1,0.333,2.4,3.8,0.629,0.627,1.1,1.8,0.604,2.3,4.9,7.3,0.6,0.3,1.4,1.1,2.8,6.0,2.5
103,Marquis Daniels,SF,29,BOS,51,4,18.4,2.4,4.9,0.498,0.1,0.5,0.214,2.3,4.3,0.534,0.51,0.7,1.1,0.607,0.5,1.3,1.9,1.3,0.5,0.1,0.8,1.8,5.6,5.5
104,Baron Davis,PG,30,LAC,75,73,33.6,5.5,13.5,0.406,1.1,3.9,0.277,4.4,9.6,0.459,0.446,3.2,3.9,0.821,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3,13.1
105,Glen Davis,PF,24,BOS,54,1,17.3,2.3,5.2,0.437,0.0,0.1,0.0,2.3,5.1,0.444,0.437,1.8,2.6,0.696,1.9,1.9,3.8,0.6,0.4,0.3,1.0,2.4,6.3,11.7
108,Austin Daye,SF,21,DET,69,4,13.3,2.0,4.3,0.464,0.4,1.4,0.305,1.6,2.9,0.54,0.514,0.7,0.8,0.821,0.5,2.0,2.5,0.5,0.4,0.4,0.7,1.7,5.1,7.5
109,Carlos Delfino,SF,27,MIL,75,66,30.4,4.0,9.8,0.408,1.8,4.9,0.367,2.2,4.9,0.45,0.5,1.2,1.6,0.782,0.7,4.6,5.3,2.7,1.1,0.3,1.6,1.8,11.0,11.5
110,Luol Deng,SF,24,CHI,70,69,37.9,6.8,14.5,0.466,0.5,1.2,0.386,6.3,13.3,0.474,0.482,3.6,4.7,0.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6,17.4
111,DeMar DeRozan,SG,20,TOR,77,65,21.6,3.3,6.6,0.498,0.1,0.2,0.25,3.3,6.4,0.506,0.502,1.9,2.5,0.763,0.9,2.0,2.9,0.7,0.6,0.2,0.8,2.3,8.6,17.2
112,Boris Diaw,PF,27,CHA,82,82,35.4,4.5,9.4,0.483,0.8,2.5,0.32,3.7,6.9,0.541,0.525,1.4,1.8,0.769,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,11.3,11.3
115,DeSagana Diop,C,28,CHA,27,0,9.7,0.6,1.1,0.517,0.0,0.0,,0.6,1.1,0.517,0.517,0.1,0.3,0.222,0.9,1.5,2.4,0.2,0.2,0.5,0.4,1.1,1.2,1.3
116,Keyon Dooling,PG,29,NJN,53,8,18.3,2.4,6.1,0.398,1.1,3.0,0.376,1.3,3.2,0.419,0.489,0.9,1.2,0.77,0.2,0.9,1.0,2.5,0.6,0.0,1.1,1.5,6.9,7.1
117,Joey Dorsey,PF,26,TOT,15,0,7.1,0.6,1.3,0.45,0.0,0.0,,0.6,1.3,0.45,0.45,0.3,0.8,0.417,1.1,1.8,2.9,0.1,0.2,0.1,0.4,1.4,1.5,3.1
118,Toney Douglas,PG,23,NYK,56,12,19.4,3.2,7.0,0.458,1.2,3.1,0.389,2.0,3.9,0.514,0.545,1.0,1.2,0.809,0.7,1.2,1.9,2.0,0.8,0.1,1.0,2.1,8.6,10.6
119,Chris Douglas-Roberts,SF,23,NJN,67,38,25.8,3.8,8.6,0.445,0.2,0.8,0.259,3.6,7.7,0.464,0.457,2.0,2.3,0.847,0.7,2.3,3.0,1.4,0.8,0.3,1.4,1.5,9.8,7.3
120,Goran Dragic,PG,23,PHO,80,2,18.0,2.8,6.1,0.452,0.9,2.4,0.394,1.9,3.8,0.488,0.527,1.5,2.0,0.736,0.5,1.7,2.1,3.0,0.6,0.1,1.6,1.6,7.9,7.5
121,Jared Dudley,SF,24,PHO,82,1,24.3,2.7,6.0,0.459,1.5,3.2,0.458,1.3,2.8,0.461,0.582,1.3,1.7,0.754,1.2,2.2,3.4,1.4,1.0,0.2,0.8,2.0,8.2,10.6
122,Chris Duhon,PG,27,NYK,67,59,30.9,2.5,6.7,0.373,1.3,3.9,0.349,1.2,2.9,0.404,0.472,1.0,1.4,0.716,0.4,2.2,2.7,5.6,0.9,0.0,1.6,1.2,7.4,2.5
123,Tim Duncan,C,33,SAS,78,77,31.3,7.2,13.9,0.518,0.0,0.1,0.182,7.2,13.7,0.522,0.519,3.5,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,13.4
124,Mike Dunleavy,SF,29,IND,67,15,22.2,3.4,8.3,0.41,1.1,3.5,0.318,2.3,4.8,0.478,0.478,2.0,2.4,0.842,0.4,3.1,3.5,1.5,0.6,0.2,1.1,1.6,9.9,11.2
125,Kevin Durant,SF,21,OKC,82,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,27.7
126,Wayne Ellington,SG,22,MIN,76,1,18.2,2.5,5.9,0.424,0.8,2.1,0.395,1.7,3.8,0.441,0.496,0.8,0.9,0.871,0.4,1.7,2.1,1.0,0.3,0.1,1.0,0.9,6.6,6.6
127,Monta Ellis,SG,24,GSW,64,64,41.4,9.9,22.0,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,24.1
128,Francisco Elson,C,33,TOT,12,0,5.5,0.4,1.3,0.333,0.0,0.0,,0.4,1.3,0.333,0.333,0.2,0.4,0.4,0.5,0.7,1.2,0.2,0.1,0.0,0.1,0.6,1.0,2.2
129,Maurice Evans,SF,31,ATL,79,5,16.7,2.2,5.0,0.445,0.7,2.1,0.337,1.5,2.8,0.527,0.518,0.6,0.8,0.754,0.7,1.2,1.9,0.6,0.4,0.2,0.3,1.6,5.7,6.3
130,Reggie Evans,PF,29,TOR,28,1,11.1,1.2,2.5,0.493,0.0,0.0,,1.2,2.5,0.493,0.493,1.0,2.1,0.45,1.1,2.7,3.8,0.3,0.5,0.1,0.8,1.6,3.4,4.4
131,Tyreke Evans,SG,20,SAC,72,72,37.2,7.4,16.2,0.458,0.5,2.0,0.255,6.9,14.2,0.485,0.473,4.8,6.5,0.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,2.8,20.1,17.8
132,Jordan Farmar,PG,23,LAL,82,0,18.0,2.7,6.3,0.435,1.0,2.8,0.376,1.7,3.5,0.483,0.518,0.7,1.0,0.671,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.3,7.2,9.6
133,Raymond Felton,PG,25,CHA,80,80,33.0,4.9,10.6,0.459,0.8,2.0,0.385,4.1,8.6,0.475,0.494,1.7,2.2,0.763,0.7,2.9,3.6,5.6,1.5,0.3,2.1,2.2,12.1,15.5
134,Rudy Fernandez,SG,24,POR,62,2,23.2,2.6,6.8,0.378,1.6,4.3,0.368,1.0,2.5,0.395,0.494,1.4,1.6,0.867,0.6,2.1,2.6,2.0,1.0,0.2,1.2,1.4,8.1,8.6
135,Kyrylo Fesenko,C,23,UTA,49,5,8.3,1.1,1.9,0.547,0.0,0.0,0.0,1.1,1.9,0.553,0.547,0.5,1.2,0.421,0.7,1.2,1.8,0.3,0.1,0.4,0.5,1.6,2.6,2.0
